delegado;memoria;tiempo
delegado 0: ;0.0;2.34645111E8
delegado 1: ;0.0;1.01065448E8
delegado 2: ;9.1;9.9327573E7
delegado 3: ;9.1;9.8775832E7
delegado 4: ;2.2;9.6508889E7
delegado 5: ;2.2;9.866758E7
delegado 6: ;2.2;9.6255571E7
delegado 7: ;3.4;9.4677879E7
delegado 8: ;3.4;9.4721033E7
delegado 9: ;3.4;9.7248364E7
delegado 10: ;5.2;9.4739075E7
delegado 11: ;5.2;9.6604463E7
delegado 12: ;5.2;9.5175007E7
delegado 13: ;8.0;9.9394621E7
delegado 14: ;8.0;1.01725685E8
delegado 15: ;8.0;1.02646067E8
delegado 16: ;3.3;9.9352442E7
delegado 17: ;3.3;9.9172754E7
delegado 18: ;3.3;9.8871893E7
delegado 19: ;3.4;1.02150158E8
delegado 20: ;3.4;9.8603215E7
delegado 21: ;3.4;9.6601293E7
delegado 22: ;4.1;9.9579672E7
delegado 23: ;4.1;9.6982367E7
delegado 24: ;4.1;9.3178205E7
delegado 25: ;2.4;9.292318E7
delegado 26: ;2.4;9.9689143E7
delegado 27: ;2.4;9.1913077E7
delegado 28: ;3.6;8.9818996E7
delegado 29: ;3.6;1.05886053E8
delegado 30: ;3.6;9.0742303E7
delegado 31: ;1.4;8.933991E7
delegado 32: ;1.4;9.0178371E7
delegado 33: ;1.4;1.04465862E8
delegado 34: ;2.8;1.04315188E8
delegado 35: ;2.8;1.02304977E8
delegado 36: ;2.8;1.02331308E8
delegado 37: ;3.9;9.3344239E7
delegado 38: ;3.9;1.00470065E8
delegado 39: ;3.9;9.6840715E7
delegado 40: ;2.1;1.00736305E8
delegado 41: ;2.1;9.3164308E7
delegado 42: ;2.1;9.0775217E7
delegado 43: ;4.0;9.0544817E7
delegado 44: ;4.0;9.202718E7
delegado 45: ;4.0;9.6067594E7
delegado 46: ;8.4;9.5199388E7
delegado 47: ;8.4;9.566287E7
delegado 48: ;8.4;9.498776E7
delegado 49: ;8.0;9.2579653E7
delegado 50: ;8.0;8.9983811E7
delegado 51: ;8.0;9.5066755E7
delegado 52: ;7.2;9.5513171E7
delegado 53: ;7.2;9.8156799E7
delegado 54: ;7.2;9.9199816E7
delegado 55: ;9.4;9.5035792E7
delegado 56: ;9.4;9.3426648E7
delegado 57: ;9.4;9.4465521E7
delegado 58: ;6.2;9.2908551E7
delegado 59: ;6.2;9.2257823E7
delegado 60: ;6.2;9.3195272E7
delegado 61: ;6.9;9.3506373E7
delegado 62: ;6.9;9.3680697E7
delegado 63: ;6.9;9.1470318E7
delegado 64: ;10.1;9.1140201E7
delegado 65: ;10.1;9.268961E7
delegado 66: ;10.1;9.1153854E7
delegado 67: ;6.6;9.1051697E7
delegado 68: ;6.6;9.0310516E7
delegado 69: ;6.6;9.0494349E7
delegado 70: ;7.2;9.0054028E7
delegado 71: ;7.2;9.0318806E7
delegado 72: ;7.2;9.0602113E7
delegado 73: ;9.1;1.05954807E8
delegado 74: ;9.1;1.04428072E8
delegado 75: ;9.1;8.8382226E7
delegado 76: ;8.2;8.8685281E7
delegado 77: ;8.2;1.03720292E8
delegado 78: ;8.2;1.01941701E8
delegado 79: ;7.0;1.02201601E8
delegado 80: ;7.0;1.04321527E8
delegado 81: ;7.0;1.03951179E8
delegado 82: ;9.2;1.02110416E8
delegado 83: ;9.2;1.01265128E8
delegado 84: ;9.2;1.02011186E8
delegado 85: ;8.6;1.01290484E8
delegado 86: ;8.6;1.01623773E8
delegado 87: ;8.6;9.8552746E7
delegado 88: ;9.1;9.7343206E7
delegado 89: ;9.1;9.7813758E7
delegado 90: ;9.1;9.7085011E7
delegado 91: ;6.9;9.7976136E7
delegado 92: ;6.9;9.6170969E7
delegado 93: ;6.9;9.6362848E7
delegado 94: ;7.4;9.5443928E7
delegado 95: ;7.4;9.5026283E7
delegado 96: ;7.4;9.5736257E7
delegado 97: ;4.9;9.6074664E7
delegado 98: ;4.9;9.3387151E7
delegado 99: ;4.9;9.4446504E7
delegado 100: ;5.0;9.4668614E7
delegado 101: ;5.0;9.4583037E7
delegado 102: ;5.0;9.3550747E7
delegado 103: ;5.2;9.2714967E7
delegado 104: ;5.2;9.2481885E7
delegado 105: ;5.2;9.1921122E7
delegado 106: ;9.7;9.2513336E7
delegado 107: ;9.7;9.1978662E7
delegado 108: ;9.7;9.0606988E7
delegado 109: ;10.4;9.0285891E7
delegado 110: ;10.4;8.9634188E7
delegado 111: ;10.4;9.0111567E7
delegado 112: ;9.4;9.0411941E7
delegado 113: ;9.4;9.0010143E7
delegado 114: ;9.4;8.8649928E7
delegado 115: ;7.2;8.8497059E7
delegado 116: ;7.2;8.8259833E7
delegado 117: ;7.2;8.8337852E7
delegado 118: ;8.6;8.8200343E7
delegado 119: ;8.6;1.02117731E8
delegado 120: ;8.6;1.02728718E8
delegado 121: ;9.6;1.02071895E8
delegado 122: ;9.6;1.02776993E8
delegado 123: ;9.6;1.01551605E8
delegado 124: ;6.4;1.01357776E8
delegado 125: ;6.4;9.9532129E7
delegado 126: ;6.4;9.9327085E7
delegado 127: ;9.1;1.01378256E8
delegado 128: ;9.1;9.9828845E7
delegado 129: ;9.1;1.00293547E8
delegado 130: ;6.8;9.9062796E7
delegado 131: ;6.8;9.9855421E7
delegado 132: ;6.8;9.9490925E7
delegado 133: ;8.7;1.0018432E8
delegado 134: ;8.7;9.909059E7
delegado 135: ;8.7;9.6519373E7
delegado 136: ;7.2;9.7329797E7
delegado 137: ;7.2;9.8058788E7
delegado 138: ;7.2;9.8857752E7
delegado 139: ;8.3;9.6655663E7
delegado 140: ;8.3;9.694092E7
delegado 141: ;8.3;9.2824925E7
delegado 142: ;5.8;9.3276461E7
delegado 143: ;5.8;9.5192073E7
delegado 144: ;5.8;9.2233931E7
delegado 145: ;8.3;9.4650816E7
delegado 146: ;8.3;9.1804582E7
delegado 147: ;8.3;9.2528696E7
delegado 148: ;5.2;9.2797863E7
delegado 149: ;5.2;9.1946723E7
delegado 150: ;5.2;9.1992072E7
delegado 151: ;7.9;9.088932E7
delegado 152: ;7.9;9.2543812E7
delegado 153: ;7.9;9.2196384E7
delegado 154: ;8.3;9.319576E7
delegado 155: ;8.3;9.22883E7
delegado 156: ;8.3;9.27964E7
delegado 157: ;6.1;9.191454E7
delegado 158: ;6.1;9.0441929E7
delegado 159: ;6.1;9.2384849E7
delegado 160: ;7.6;9.0259072E7
delegado 161: ;7.6;9.2521382E7
delegado 162: ;7.6;9.2255629E7
delegado 163: ;7.9;9.3717756E7
delegado 164: ;7.9;9.1657564E7
delegado 165: ;7.9;9.221467E7
delegado 166: ;5.9;9.2517238E7
delegado 167: ;5.9;9.1818723E7
delegado 168: ;5.9;9.24163E7
delegado 169: ;5.5;9.2315607E7
delegado 170: ;5.5;9.2448239E7
delegado 171: ;5.5;9.096807E7
delegado 172: ;5.5;9.0120588E7
delegado 173: ;5.5;8.9718058E7
delegado 174: ;5.5;9.1608315E7
delegado 175: ;6.9;9.1636109E7
delegado 176: ;6.9;9.1536147E7
delegado 177: ;6.9;9.1447157E7
delegado 178: ;7.9;9.1783127E7
delegado 179: ;7.9;1.05411112E8
delegado 180: ;7.9;9.0370493E7
delegado 181: ;7.8;9.0562372E7
delegado 182: ;7.8;9.039268E7
delegado 183: ;7.8;8.9904573E7
delegado 184: ;9.0;8.9864589E7
delegado 185: ;9.0;8.8474386E7
delegado 186: ;9.0;8.8820108E7
delegado 187: ;9.4;8.8565083E7
delegado 188: ;9.4;8.8555574E7
delegado 189: ;9.4;8.8880084E7
delegado 190: ;11.0;1.01686432E8
delegado 191: ;11.0;1.02443461E8
delegado 192: ;11.0;1.02254508E8
delegado 193: ;9.0;1.02872565E8
delegado 194: ;9.0;1.03894616E8
delegado 195: ;9.0;9.8863359E7
delegado 196: ;7.9;1.00240152E8
delegado 197: ;7.9;9.9084251E7
delegado 198: ;7.9;1.00939887E8
delegado 199: ;8.6;1.00908679E8
delegado 200: ;8.6;9.9889066E7
delegado 201: ;8.6;9.2486274E7
delegado 202: ;7.6;9.1364017E7
delegado 203: ;7.6;9.3600972E7
delegado 204: ;7.6;9.2846136E7
delegado 205: ;6.5;9.4840744E7
delegado 206: ;6.5;9.1975736E7
delegado 207: ;6.5;9.136865E7
delegado 208: ;9.7;9.2035226E7
delegado 209: ;9.7;1.00006583E8
delegado 210: ;9.7;1.00277212E8
delegado 211: ;7.9;9.9655984E7
delegado 212: ;7.9;1.02795278E8
delegado 213: ;7.9;9.915008E7
delegado 214: ;6.4;9.7877393E7
delegado 215: ;6.4;1.00162865E8
delegado 216: ;6.4;9.8928945E7
delegado 217: ;6.4;9.7968334E7
delegado 218: ;6.4;9.6152196E7
delegado 219: ;6.4;9.8253347E7
delegado 220: ;8.6;9.7631876E7
delegado 221: ;8.6;9.7664303E7
