delegado;memoria;tiempo
delegado 0: ;0.0;2.28339217E8
delegado 1: ;0.0;1.00718508E8
delegado 2: ;10.6;9.8535923E7
delegado 3: ;10.6;1.14243849E8
delegado 4: ;5.9;1.00358888E8
delegado 5: ;5.9;9.6095632E7
delegado 6: ;5.9;9.7987107E7
delegado 7: ;5.5;9.9498728E7
delegado 8: ;5.5;1.01978759E8
delegado 9: ;5.5;9.7938833E7
delegado 10: ;1.7;1.01486995E8
delegado 11: ;1.7;1.01622309E8
delegado 12: ;1.7;9.8589317E7
delegado 13: ;3.8;1.00228937E8
delegado 14: ;3.8;1.00926233E8
delegado 15: ;3.8;1.01520641E8
delegado 16: ;4.2;9.8122909E7
delegado 17: ;4.2;1.01672535E8
delegado 18: ;4.2;9.8963322E7
delegado 19: ;3.5;1.00310126E8
delegado 20: ;3.5;1.02400062E8
delegado 21: ;3.5;9.6630551E7
delegado 22: ;4.1;1.04565579E8
delegado 23: ;4.1;9.6622748E7
delegado 24: ;4.1;1.03116375E8
delegado 25: ;4.5;1.02887925E8
delegado 26: ;4.5;9.8861896E7
delegado 27: ;4.5;9.9396571E7
delegado 28: ;2.0;1.00288914E8
delegado 29: ;2.0;1.03300451E8
delegado 30: ;2.0;9.8213119E7
delegado 31: ;2.4;1.00137265E8
delegado 32: ;2.4;1.00338408E8
delegado 33: ;2.4;1.02053365E8
delegado 34: ;12.4;9.9089371E7
delegado 35: ;12.4;9.9379748E7
delegado 36: ;12.4;1.01439452E8
delegado 37: ;8.0;1.05046129E8
delegado 38: ;8.0;9.8110231E7
delegado 39: ;8.0;9.8863359E7
delegado 40: ;7.6;9.9164952E7
delegado 41: ;7.6;9.8876281E7
delegado 42: ;7.6;9.9318552E7
delegado 43: ;7.9;1.00228694E8
delegado 44: ;7.9;9.9591132E7
delegado 45: ;7.9;1.02077502E8
delegado 46: ;6.9;9.9823238E7
delegado 47: ;6.9;1.0223354E8
delegado 48: ;6.9;1.00437151E8
delegado 49: ;6.6;1.01866606E8
delegado 50: ;6.6;9.8227016E7
delegado 51: ;6.6;9.996611E7
delegado 52: ;2.8;1.00376198E8
delegado 53: ;2.8;1.01515277E8
delegado 54: ;2.8;1.07475936E8
delegado 55: ;4.1;9.133281E7
delegado 56: ;4.1;1.01347536E8
delegado 57: ;4.1;9.9994392E7
delegado 58: ;1.4;9.9807391E7
delegado 59: ;1.4;9.7912014E7
delegado 60: ;1.4;1.00011947E8
delegado 61: ;2.4;1.01087391E8
delegado 62: ;2.4;1.00631467E8
delegado 63: ;2.4;1.01595491E8
delegado 64: ;3.1;9.6157803E7
delegado 65: ;3.1;1.0293498E8
delegado 66: ;3.1;1.13934211E8
delegado 67: ;2.4;1.01366066E8
delegado 68: ;2.4;1.01814676E8
delegado 69: ;2.4;1.02510021E8
delegado 70: ;2.7;9.9367314E7
delegado 71: ;2.7;1.00742156E8
delegado 72: ;2.7;1.02106028E8
delegado 73: ;5.6;1.00837974E8
delegado 74: ;5.6;1.00288183E8
delegado 75: ;5.6;9.9713767E7
delegado 76: ;6.2;1.01301212E8
delegado 77: ;6.2;9.9744E7
delegado 78: ;6.2;9.970304E7
delegado 79: ;3.0;1.0147383E8
