delegado;memoria;tiempo
delegado 0: ;0.0;2.36187207E8
delegado 1: ;0.0;9.9802027E7
delegado 2: ;10.6;1.00270141E8
delegado 3: ;10.6;1.03145632E8
delegado 4: ;3.2;1.01271468E8
delegado 5: ;3.2;9.9170316E7
delegado 6: ;3.2;1.05738548E8
delegado 7: ;6.2;9.971645E7
delegado 8: ;6.2;1.13929578E8
delegado 9: ;6.2;9.9839573E7
delegado 10: ;4.0;1.02939369E8
delegado 11: ;4.0;1.03403583E8
delegado 12: ;4.0;9.9836404E7
delegado 13: ;3.8;9.9929052E7
delegado 14: ;3.8;9.9863467E7
delegado 15: ;3.8;1.02205015E8
delegado 16: ;4.4;9.6880455E7
delegado 17: ;4.4;1.03129053E8
delegado 18: ;4.4;9.8387199E7
delegado 19: ;5.5;9.894723E7
delegado 20: ;5.5;9.9373897E7
delegado 21: ;5.5;9.6200958E7
delegado 22: ;10.7;1.00132388E8
delegado 23: ;10.7;1.01134203E8
delegado 24: ;10.7;9.8139976E7
delegado 25: ;10.4;1.02125288E8
delegado 26: ;10.4;9.7936639E7
delegado 27: ;10.4;1.03590098E8
delegado 28: ;5.2;8.8564839E7
delegado 29: ;5.2;1.03447469E8
delegado 30: ;5.2;1.00346454E8
delegado 31: ;4.8;1.01160047E8
delegado 32: ;4.8;1.00498834E8
delegado 33: ;4.8;1.01320473E8
delegado 34: ;25.0;9.4243166E7
delegado 35: ;25.0;1.01839788E8
delegado 36: ;25.0;9.6179259E7
delegado 37: ;5.0;9.6356752E7
delegado 38: ;5.0;1.00926965E8
delegado 39: ;5.0;9.3791143E7
delegado 40: ;4.7;1.0481329E8
delegado 41: ;4.7;8.8802066E7
delegado 42: ;4.7;1.03518173E8
delegado 43: ;2.0;9.6782931E7
delegado 44: ;2.0;8.9865807E7
delegado 45: ;2.4;1.02022157E8
delegado 46: ;2.4;1.01584763E8
delegado 47: ;2.4;1.01930972E8
delegado 48: ;2.8;1.00566857E8
delegado 49: ;2.8;9.9434361E7
delegado 50: ;2.8;1.00536625E8
delegado 51: ;1.7;1.00298423E8
delegado 52: ;1.7;9.644428E7
delegado 53: ;1.7;1.02213061E8
delegado 54: ;4.0;1.18070441E8
delegado 55: ;4.0;1.00446903E8
delegado 56: ;4.0;9.861833E7
delegado 57: ;2.0;1.00765806E8
delegado 58: ;2.0;1.01497235E8
delegado 59: ;2.0;9.8156312E7
delegado 60: ;3.8;1.03144169E8
delegado 61: ;3.8;1.00148967E8
delegado 62: ;3.8;9.8688304E7
delegado 63: ;5.9;1.00674621E8
delegado 64: ;5.9;9.3289383E7
delegado 65: ;5.9;1.0247418E8
delegado 66: ;2.7;1.0032768E8
delegado 67: ;2.7;1.0279479E8
delegado 68: ;2.7;9.8226041E7
delegado 69: ;3.1;9.83143E7
delegado 70: ;3.1;1.01632549E8
delegado 71: ;3.1;1.02176245E8
delegado 72: ;4.5;9.8591755E7
delegado 73: ;4.5;9.6464759E7
delegado 74: ;4.5;9.9370484E7
delegado 75: ;6.1;1.00656335E8
delegado 76: ;6.1;9.9697432E7
delegado 77: ;6.1;1.00433494E8
delegado 78: ;8.3;1.01316572E8
delegado 79: ;8.3;1.01446279E8
